slug,domain,name_en,name_zh,products,category,founded_year,hq_city,certifications,target_markets,pricing_model,confidence,last_verified,canonical
aftership-com,aftership.com,AfterShip,,Tracking|Returns|Shipping|AI EDD|Warranty|AfterShip Intelligence,ecommerce-saas,,,ISO27001|GDPR,Global,subscription,0.917,2026-06-14,https://sinofacts.com/companies/aftership-com
agora-io,agora.io,Agora,声网,Conversational AI Engine|Video Calling|Voice Calling|Interactive Live Streaming|Interactive Whiteboard|Signaling|Chat|Broadcast Streaming|IoT,infrastructure,,"Santa Clara, CA, USA",SOC2|GDPR|HIPAA|ISO27001|ISO27017|ISO27018|ISO27701|CCPA|COPPA,Global,freemium,1.0,2026-06-14,https://sinofacts.com/companies/agora-io
aiarty-com,aiarty.com,Digiarty Software,,Aiarty Image Enhancer|Aiarty Video Enhancer|Aiarty Image Matting,other,,,,Global,enterprise,0.889,2026-06-12,https://sinofacts.com/companies/aiarty-com
aippt-com,aippt.com,AiPPT,AiPPT(像素绽放),AiPPT Classic|AiPPT Flow|AiPPT Visual,ai-productivity,2018,Hong Kong,,,,0.769,2026-06-12,https://sinofacts.com/companies/aippt-com
airbrush-com,airbrush.com,Airbrush,美图,Airbrush,ai-image,,Singapore,,Global,freemium,1.0,2026-06-17,https://sinofacts.com/companies/airbrush-com
airwallex-com,airwallex.com,Airwallex,空中云汇,Airwallex,fintech-saas,2015,"Melbourne, Australia",PCI-DSS|SOC1|SOC2,Global,unknown,0.923,2026-06-21,https://sinofacts.com/companies/airwallex-com
aispeech-com,aispeech.com,AISpeech,思必驰,AI办公本|高端矩阵麦克风MA600D|高端吸顶会议麦克风MC10|AISPEECH DFM大模型,ai-audio,,,,,unknown,0.778,2026-06-13,https://sinofacts.com/companies/aispeech-com
aitable-ai,aitable.ai,AITable.ai,维格AITable,AITable,enterprise-saas,2019,Hong Kong,,,freemium,0.929,2026-06-12,https://sinofacts.com/companies/aitable-ai
akool-com,akool.com,Akool,Akool,Akool,ai-avatar,,"Palo Alto, California, United States",SOC2,Global,freemium,0.923,2026-06-12,https://sinofacts.com/companies/akool-com
alauda-io,alauda.io,Alauda,灵雀云,Alauda Container Platform|Alauda Virtualization|Alauda AI|Alauda HyperFlux,infrastructure,2014,"Beijing, China",,Global|Southeast Asia|Middle East|Africa|Latin America|Europe|China,unknown,0.917,2026-06-12,https://sinofacts.com/companies/alauda-io
alibabacloud-com,alibabacloud.com,Alibaba Cloud,阿里云,Alibaba Cloud,infrastructure,2009,,GDPR|HIPAA|PCI DSS|C5|TPN,Global,unknown,0.846,2026-06-21,https://sinofacts.com/companies/alibabacloud-com
alluxio-io,alluxio.io,Alluxio,,Alluxio AI|Alluxio DA,data-infra,,"San Francisco Bay Area, USA",,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/alluxio-io
allvalue-com,allvalue.com,AllValue,有赞AllValue,AllValue Link|AllValue Shop,ecommerce-saas,,,ISO27001|CSA-STAR|PCI-DSS,United States|Canada|United Kingdom|Australia|New Zealand|Malaysia|Singapore|Hong Kong|Japan,unknown,1.0,2026-06-12,https://sinofacts.com/companies/allvalue-com
allvoicelab-com,allvoicelab.com,All Voice Lab,趣丸千音,Text to Speech|Voice Cloning|Voice Changer|Video Translation,ai-audio,,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/allvoicelab-com
aloudata-com,aloudata.com,Aloudata,浙江大应科技有限公司,Aloudata AIR|Aloudata BIG|Aloudata CAN|Aloudata Agent,data-infra,2021,"Hangzhou, China",ISO9001|ISO27001,China,,0.929,2026-06-13,https://sinofacts.com/companies/aloudata-com
apecloud-com,apecloud.com,ApeCloud,云猿生数据,KubeBlocks|ApeRAG,data-infra,2022,"Hangzhou, China",,China,freemium,1.0,2026-06-12,https://sinofacts.com/companies/apecloud-com
api7-ai,api7.ai,API7.ai,支流科技,API7 Enterprise|API7 Cloud|AISIX,data-infra,2019,,,,,0.857,2026-06-12,https://sinofacts.com/companies/api7-ai
apifox-com,apifox.com,Apifox,广州睿狐科技有限公司,Apifox,devtools,,"Guangzhou, China",,,freemium,1.0,2026-06-27,https://sinofacts.com/companies/apifox-com
apitable-com,apitable.com,APITable,,AITable|APITable,devtools,2019,Hong Kong,,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/apitable-com
apowersoft-com,apowersoft.com,Apowersoft,傲软,Apowersoft Unlimited|ApowerREC|ApowerMirror|PicWish|GitMind,design-saas,2010,Hong Kong,,Global,,0.727,2026-06-12,https://sinofacts.com/companies/apowersoft-com
appflowy-io,appflowy.io,AppFlowy,,AppFlowy,devtools,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/appflowy-io
appgrowing-ai,appgrowing.ai,AppGrowing Global,,AppGrowing Global,other,,,,Global,subscription,0.636,2026-06-12,https://sinofacts.com/companies/appgrowing-ai
atoms-dev,atoms.dev,Atoms,深度赋智MGX,Atoms,ai-coding,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/atoms-dev
authing-cn,authing.cn,Authing,Authing,Authing Identity Cloud|Single Sign-On (SSO)|Multi-Factor Authentication (MFA)|Identity Directory|Identity Security Platform|Identity Automation,security,,"Beijing, China",ISO 9001|GDPR|Information Security Level 3 Protection (China),Global|China,freemium,1.0,2026-06-13,https://sinofacts.com/companies/authing-cn
automq-com,automq.com,AutoMQ,,AutoMQ,data-infra,,,,,usage-based,0.818,2026-06-12,https://sinofacts.com/companies/automq-com
avclabs-com,avclabs.com,AVCLabs,,AVCLabs Video Enhancer AI|AVCLabs Video Blur AI|AVCLabs Photo Enhancer AI|AVCLabs PhotoPro AI|Any Video Converter|AVCLabs Video Enhancer Cloud AI|AVCLabs MCP,ai-video,,,,,unknown,0.571,2026-06-12,https://sinofacts.com/companies/avclabs-com
baichuan-ai-com,baichuan-ai.com,Baichuan Intelligence,百川智能,Baichuan Big Model,ai-llm,,,,,unknown,1.0,2026-06-26,https://sinofacts.com/companies/baichuan-ai-com
baichuan-cn,baichuan.cn,Baichuan AI,百川智能,,ai-llm,,"Beijing, China",,,unknown,1.0,2026-06-11,https://sinofacts.com/companies/baichuan-cn
basic-ai,basic.ai,BasicAI,倍赛科技,BasicAI Data Annotation Platform|Xtreme1,ai-infra,,"Irvine, CA, USA",,Global,freemium,0.909,2026-06-12,https://sinofacts.com/companies/basic-ai
beautyplus-com,beautyplus.com,Pixocial Technology (Singapore) Pte. Ltd.,,BeautyPlus,ai-image,,Singapore,,,freemium,1.0,2026-06-17,https://sinofacts.com/companies/beautyplus-com
bentoml-com,bentoml.com,BentoML,,Bento Inference Platform|BentoML Open-Source,ai-infra,,,SOC 2 Type II|ISO 27001|HIPAA,,unknown,0.9,2026-06-12,https://sinofacts.com/companies/bentoml-com
beosin-com,beosin.com,Beosin,,Trace|KYT,security,2018,,SOC2|ISO27001,Asia,unknown,0.8,2026-06-12,https://sinofacts.com/companies/beosin-com
bigseller-com,bigseller.com,BigSeller,,BigSeller,other,2019,"Shenzhen, China",,Malaysia|Philippines|Indonesia|Thailand|Vietnam|Singapore,free,0.8,2026-06-12,https://sinofacts.com/companies/bigseller-com
bika-ai,bika.ai,Bika.ai,Bika(维格),Bika.ai,ai-agent,,,,,subscription,0.889,2026-06-12,https://sinofacts.com/companies/bika-ai
bitbrowser-net,bitbrowser.net,BitBrowser,,BitBrowser|BitCloudPhone,antidetect-browser,2018,Hong Kong,,Global,freemium,0.909,2026-06-13,https://sinofacts.com/companies/bitbrowser-net
boardmix-com,boardmix.com,Boardmix,,Boardmix|Boardmix AI,enterprise-saas,,"Shenzhen, China",,Global,freemium,0.846,2026-06-12,https://sinofacts.com/companies/boardmix-com
bytebase-com,bytebase.com,Bytebase,,Bytebase,other,,,SOC2|HIPAA,,freemium,0.727,2026-06-20,https://sinofacts.com/companies/bytebase-com
byteplus-com,byteplus.com,BytePlus,,Dreamina Seedance 2.0|Dola Seedream 5.0 Lite|Seed-TTS 2.0|Seed-ASR 2.0|ArkClaw,infrastructure,,,ISO 9001|ISO 20000|ISO 22301|ISO 27001|ISO 27017|ISO 27018|ISO 27701|MTCS Level 3|CSA STAR|SOC 1|SOC 2|SOC 3|PCI DSS,Global,freemium,0.909,2026-06-12,https://sinofacts.com/companies/byteplus-com
camscanner-com,camscanner.com,CamScanner,扫描全能王,CamScanner,ai-productivity,,,ISO 27001|ISO 27701|ISO 20000,Global,,0.727,2026-06-12,https://sinofacts.com/companies/camscanner-com
capcut-com,capcut.com,CapCut,,CapCut|Dreamina AI|Pippit AI,ai-video,,,,,,0.667,2026-06-16,https://sinofacts.com/companies/capcut-com
celerdata-com,celerdata.com,PhoenixAI,,PhoenixAI Cloud|PhoenixAI Anywhere,database,,,SOC 2,,enterprise,1.0,2026-06-27,https://sinofacts.com/companies/celerdata-com
certik-com,certik.com,CertiK,,Skynet|SkyInsights,security,,,SOC2|ISO27001,Global|United States|Singapore|Hong Kong|Japan|Abu Dhabi|Korea,,0.727,2026-06-12,https://sinofacts.com/companies/certik-com
chaitin-com,chaitin.com,Chaitin,北京长亭科技有限公司,SafeLine|X-Ray|CloudWalker|Cloud Atlas|Alioth|ChaitinAI|COSMOS|Insight|T-ANSWER|D-Sensor|CloudWalker-DDR,security,,"Beijing, China",,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/chaitin-com
channelwill-com,channelwill.com,CWILL,,ParcelWILL|TrustWILL|SEOWILL|ChatWILL|SendWILL,ecommerce-saas,2014,"Shenzhen, China",,Global,usage-based,1.0,2026-06-13,https://sinofacts.com/companies/channelwill-com
chat2db-ai,chat2db.ai,Chat2DB,Chat2DB,Chat2DB,data-infra,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/chat2db-ai
chatdoc-com,chatdoc.com,ChatDOC,,ChatDOC|ChatPaper|ChatDOC API|ChatDOC PDF Parser,other,,,,Global,freemium,0.6,2026-06-30,https://sinofacts.com/companies/chatdoc-com
cherry-ai-com,cherry-ai.com,Cherry Studio,上海千彗科技有限公司,Cherry Studio,ai-productivity,,,,,free,0.889,2026-06-13,https://sinofacts.com/companies/cherry-ai-com
cjdropshipping-com,cjdropshipping.com,CJ Dropshipping,,,ecommerce,,,,Global,unknown,0.7,2026-06-13,https://sinofacts.com/companies/cjdropshipping-com
clacky-ai,clacky.ai,ClackyAI,,ClackyAI,ai-coding,,,,,freemium,0.9,2026-06-12,https://sinofacts.com/companies/clacky-ai
classin-com,classin.com,ClassIn,翼鸥教育,ClassIn|ClassIn X,edtech,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/classin-com
clonbrowser-com,clonbrowser.com,ClonBrowser,,ClonBrowser,other,2019,,,Global,,0.818,2026-06-13,https://sinofacts.com/companies/clonbrowser-com
cloudwalk-com,cloudwalk.com,CloudWalk Technology,云从科技,,ai-platform,,,,,unknown,0.833,2026-06-11,https://sinofacts.com/companies/cloudwalk-com
cocos-com,cocos.com,Cocos,,Cocos Creator|Cocos2d-x|Cocos 4|OpenPaaS Runtime,game-engine,,,,Global,free,1.0,2026-06-27,https://sinofacts.com/companies/cocos-com
codegeex-cn,codegeex.cn,CodeGeeX,CodeGeeX,CodeGeeX,ai-coding,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/codegeex-cn
collov-ai,collov.ai,Collov AI,Collov,Virtual Staging AI|Photo Editing|Virtual Tour,other,,,,,subscription,0.667,2026-06-12,https://sinofacts.com/companies/collov-ai
convertlab-com,convertlab.com,ConvertLab,Convertlab,Convertlab Marketing Cloud|DM Hub|Data Hub|Ad Hub|PEC Privacy Computing Platform|AI Hub|Open Hub|B2B荟聚数字营销云,martech,2015,"Shanghai, China",,China,unknown,0.917,2026-06-13,https://sinofacts.com/companies/convertlab-com
coohom-com,coohom.com,Coohom,酷家乐,Coohom,design-saas,,,,Global,unknown,1.0,2026-06-23,https://sinofacts.com/companies/coohom-com
coze-com,coze.com,Coze,,Coze,ai-agent,,,,,unknown,1.0,2026-06-20,https://sinofacts.com/companies/coze-com
creatify-ai,creatify.ai,Creatify,,Creatify,other,,,SOC2,,freemium,0.727,2026-06-12,https://sinofacts.com/companies/creatify-ai
crushon-ai,crushon.ai,CrushOn AI,,CrushOn AI,ai-companion,,"Nicosia, Cyprus",,,unknown,1.0,2026-06-18,https://sinofacts.com/companies/crushon-ai
cutout-pro,cutout.pro,Cutout.Pro,,Cutout.Pro,ai-image,2018,Hong Kong,,Global,,0.909,2026-06-17,https://sinofacts.com/companies/cutout-pro
cyclone-robotics-com,cyclone-robotics.com,Cyclone Robotics,弘玑Cyclone,,ai-automation,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/cyclone-robotics-com
d5render-com,d5render.com,D5 Render,D5渲染器,D5 Render|D5 Lite|D5 Works,ai-image,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/d5render-com
daocloud-io,daocloud.io,DaoCloud,DaoCloud,DaoCloud Enterprise 5.0|DaoCloud Enterprise Community|DaoCloud Cloud Native Appliance|d.run AI Operating System,infrastructure,,,,Global,,0.818,2026-06-13,https://sinofacts.com/companies/daocloud-io
databend-com,databend.com,Databend Labs,,Databend Cloud|Databend Enterprise|Databend Community,database,,"Las Vegas, Nevada, USA",SOC2|GDPR,,usage-based,0.929,2026-06-21,https://sinofacts.com/companies/databend-com
dataease-io,dataease.io,FIT2CLOUD,杭州飞致云信息科技有限公司,DataEase,bi,,,,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/dataease-io
datagrand-com,datagrand.com,DataGrand,达观数据,AI Agent智能体平台|机器人流程自动化(RPA)|智能知识管理系统(KMS)|垂直大模型与智能问答|智能文档处理平台(IDPS)|智能图像识别平台(OCR)|曹植大语言模型,ai-productivity,,"上海, 中国",,,unknown,0.9,2026-06-13,https://sinofacts.com/companies/datagrand-com
datastrato-ai,datastrato.ai,Datastrato,,Apache Gravitino|Datastrato Enterprise,other,,,SOC 2 Type II,,,0.727,2026-06-12,https://sinofacts.com/companies/datastrato-ai
dcloud-io,dcloud.io,DCloud,数字天堂,HBuilder|HBuilderX|uni-app,devtools,,"Beijing, China",国家信息安全等级保护三级,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/dcloud-io
deemos-com,deemos.com,Deemos,Deemos,Hyper3D Rodin,ai-image,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/deemos-com
deepflow-io,deepflow.io,DeepFlow (Yunshan Networks),云杉网络,DeepFlow,infrastructure,,,,Global,unknown,0.889,2026-06-12,https://sinofacts.com/companies/deepflow-io
deepseek-com,deepseek.com,DeepSeek,深度求索,DeepSeek,other,2023,"Hangzhou, China",,Global|China,freemium,0.917,2026-06-15,https://sinofacts.com/companies/deepseek-com
derbysoft-com,derbysoft.com,DerbySoft,德比软件,Property Connector|Streamlined Connectivity|Exchange|Business Travel Solutions|Content Solutions|Digital Marketing Solutions|AI Voice Agent|Flight Technology Solutions,enterprise-saas,2002,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/derbysoft-com
devv-ai,devv.ai,Devv,Devv,Devv,ai-search,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/devv-ai
dianxiaomi-com,dianxiaomi.com,DianXiaoMi,店小秘,店小秘ERP|BigSeller|UpSeller|赛狐ERP|多客|17TRACK,ecommerce-saas,2014,"Shenzhen, China",,Global,free,1.0,2026-06-12,https://sinofacts.com/companies/dianxiaomi-com
dicloak-com,dicloak.com,DICloak,,DICloak Antidetect Browser,other,,,,Global,freemium,0.889,2026-06-13,https://sinofacts.com/companies/dicloak-com
dify-ai,dify.ai,"LangGenius, Inc.",,Dify,devtools,,,,Global,freemium,0.9,2026-06-14,https://sinofacts.com/companies/dify-ai
dolphindb-com,dolphindb.com,DolphinDB,,DolphinDB|Swordfish|Shark|Starfish|Octopus|DolphinDB AI,database,,,,Global,freemium,0.909,2026-06-12,https://sinofacts.com/companies/dolphindb-com
domoai-app,domoai.app,DomoAI,滴墨AI,DomoAI,ai-video,2023,"Singapore, Singapore",,,freemium,0.923,2026-06-12,https://sinofacts.com/companies/domoai-app
dp-tech,dp.tech,DP Technology,深势科技,Bohrium|Hermite|RiDYMO|Piloteye,ai-platform,2018,"Beijing, China",,,unknown,0.917,2026-06-13,https://sinofacts.com/companies/dp-tech
dropshipman-com,dropshipman.com,Dropshipman,,Dropshipman,ecommerce-saas,,,,Global,,0.778,2026-06-13,https://sinofacts.com/companies/dropshipman-com
dsers-com,dsers.com,DSers,,DSers,ecommerce-saas,,"Beijing, China",,,freemium,0.818,2026-06-13,https://sinofacts.com/companies/dsers-com
duix-com,duix.com,DUIX,硅基智能,Duix,ai-avatar,,,,Global,subscription,0.8,2026-06-12,https://sinofacts.com/companies/duix-com
dupdub-com,dupdub.com,DupDub,魔音工坊,DupDub,ai-audio,,"Beijing, China",,Global,,0.769,2026-06-12,https://sinofacts.com/companies/dupdub-com
dzine-ai,dzine.ai,Dzine,Dzine,Dzine,design-saas,,,,,freemium,0.917,2026-06-12,https://sinofacts.com/companies/dzine-ai
edrawmind-com,edrawmind.com,Wondershare EdrawMind,万兴脑图,EdrawMind,design-saas,2004,"Shenzhen, China",,Global,freemium,0.923,2026-06-22,https://sinofacts.com/companies/edrawmind-com
edrawsoft-com,edrawsoft.com,EdrawSoft,万兴图示,EdrawMax|EdrawMind|EdrawProj,design-saas,2004,"Shenzhen, China",ISO 27001|SOC 2|GDPR,Global,freemium,1.0,2026-06-22,https://sinofacts.com/companies/edrawsoft-com
eigent-ai,eigent.ai,Eigent AI,,Eigent Open Source Cowork,ai-agent,,,,,unknown,0.667,2026-06-12,https://sinofacts.com/companies/eigent-ai
eloqdata-com,eloqdata.com,EloqData,晨章数据,EloqKV|EloqDoc|EloqSQL|EloqConvergedDB|EloqCloud,database,,,SOC2,,,0.667,2026-06-12,https://sinofacts.com/companies/eloqdata-com
emqx-com,emqx.com,EMQ,映云科技,EMQX|EMQX Cloud|EMQX Enterprise|EMQX Edge|EMQX Neuron,infrastructure,,,SOC2,,freemium,1.0,2026-06-11,https://sinofacts.com/companies/emqx-com
engagelab-com,engagelab.com,EngageLab,,AppPush|WebPush|Email|SMS|WhatsApp Business API|Marketing Automation|LiveDesk|OTP|CAPTCHA|Silent Auth,other,,,GDPR,Global,freemium,0.9,2026-06-12,https://sinofacts.com/companies/engagelab-com
eprolo-com,eprolo.com,EPROLO,,EPROLO Dropshipping Platform|Inkedjoy|EPROLO API,other,,,,Global,free,0.7,2026-06-13,https://sinofacts.com/companies/eprolo-com
etowertech-com,etowertech.com,WallTech,沃行科技,eTower B2C|eTower One|CargoWare,logistics-saas,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/etowertech-com
evoto-ai,evoto.ai,Evoto,,Evoto Photo Editor|Evoto Instant|Evoto Video,ai-image,,"Menlo Park, California, United States",GDPR|CCPA,Global,freemium,1.0,2026-06-13,https://sinofacts.com/companies/evoto-ai
faceunity-com,faceunity.com,FaceUnity,相芯科技,AvatarX|AR Video Effects SDK|AI Digital Human Live Streaming Solution,ai-avatar,2016,"Hangzhou, China",,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/faceunity-com
fanruan-com,fanruan.com,FanRuan Software,帆软软件有限公司,FineReport|FineBI|FineDataLink|简道云|九数云|FineVis|FineMobile,bi-saas,2006,"Wuxi, China",CMMI 5|国际质量体系认证,Global|China,unknown,0.929,2026-06-29,https://sinofacts.com/companies/fanruan-com
fastgpt-io,fastgpt.io,FastGPT,,FastGPT,ai-agent,,,,,freemium,0.75,2026-06-12,https://sinofacts.com/companies/fastgpt-io
fastmoss-com,fastmoss.com,FastMoss,,FastMoss|YooFinds|MossCreator|Chrome Extension,bi-saas,,"Beijing, China",,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/fastmoss-com
fellou-ai,fellou.ai,Fellou,,Fellou,ai-agent,,,,,unknown,0.667,2026-06-12,https://sinofacts.com/companies/fellou-ai
felo-ai,felo.ai,Felo,,Felo,ai-search,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/felo-ai
filmora-io,filmora.io,Wondershare,万兴喵影,Filmora,ai-video,,,,Global,,0.875,2026-06-16,https://sinofacts.com/companies/filmora-io
finalroundai-com,finalroundai.com,Final Round AI,,Final Round AI|Interview Copilot|AI Mock Interview,ai-productivity,,"San Francisco, CA, USA",,Global,freemium,0.9,2026-06-19,https://sinofacts.com/companies/finalroundai-com
finebi-com,finebi.com,FanRuan Software,帆软软件有限公司,FineBI,bi-saas,2005,,,Global,unknown,1.0,2026-06-25,https://sinofacts.com/companies/finebi-com
finereport-com,finereport.com,FineReport,帆软FineReport,FineReport,bi-saas,,,,,freemium,0.909,2026-06-25,https://sinofacts.com/companies/finereport-com
fineshare-com,fineshare.com,FineShare,,FineVoice|Singify|VoiceTrans|FineCam|Vora,ai-audio,,,,Global,,0.75,2026-06-12,https://sinofacts.com/companies/fineshare-com
fish-audio,fish.audio,Fish Audio,,Text-to-Speech|Voice Cloning|Speech-to-Text|Voice Changer|Story Studio|Audio Separation|Audio Translation|Sound Effects,other,,,,Global,freemium,0.727,2026-06-12,https://sinofacts.com/companies/fish-audio
flat-ads-com,flat-ads.com,Flat Ads,,,martech,2019,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/flat-ads-com
flexclip-com,flexclip.com,FlexClip,恒图科技,FlexClip,ai-video,2019,,,,freemium,0.833,2026-06-12,https://sinofacts.com/companies/flexclip-com
flowith-io,flowith.io,Flowith,,Flowith AI,ai-productivity,,,,,unknown,1.0,2026-06-30,https://sinofacts.com/companies/flowith-io
folo-is,folo.is,Folo,,Folo,ai-productivity,,,,Global,freemium,0.9,2026-06-12,https://sinofacts.com/companies/folo-is
fotor-com,fotor.com,Fotor,,Fotor,ai-image,,,,Global,freemium,1.0,2026-06-17,https://sinofacts.com/companies/fotor-com
foxit-com,foxit.com,Foxit,福昕软件,Foxit PDF Editor|Foxit AI|Foxit eSign|Foxit PDF Reader|Foxit PDF SDK|Foxit for Salesforce,other,,,,Global,freemium,0.909,2026-06-12,https://sinofacts.com/companies/foxit-com
gaiaworks-cn,gaiaworks.cn,GaiaWorks,盖雅工场,GaiaWorks Workforce Management Cloud|Smart Scheduling Cloud|Real-time Attendance Cloud|Lean Time Tracking Cloud|Incentive Compensation (ICM)|Workforce Analytics|Gig Worker Management Cloud|Skill Development Cloud,hr-saas,,"Suzhou, China",SOC 2|ISO 27001|ISO 27017|ISO 27018|ISO 20000|ISO 9001|信息系统安全等级保护三级,Global,unknown,0.923,2026-06-24,https://sinofacts.com/companies/gaiaworks-cn
gaoding-com,gaoding.com,Gaoding,稿定（厦门）科技有限公司,稿定设计|稿定AI|花瓣,design-saas,,"Xiamen, China",,,freemium,1.0,2026-06-11,https://sinofacts.com/companies/gaoding-com
gauthmath-com,gauthmath.com,Gauth,,,edtech,,,,United States,unknown,0.75,2026-06-11,https://sinofacts.com/companies/gauthmath-com
geelark-com,geelark.com,GeeLark,GeeLark,,other,,,,,unknown,0.667,2026-06-13,https://sinofacts.com/companies/geelark-com
geetest-com,geetest.com,GeeTest,极验,GeeTest Bot Management Platform|GeeTest CAPTCHA v4|Device Fingerprinting|Business Rules Engine,security,2012,,,Global,unknown,0.9,2026-06-12,https://sinofacts.com/companies/geetest-com
genspark-ai,genspark.ai,Genspark,,Genspark AI Workspace|Genspark Claw|Speakly,ai-agent,,,,Global|Korea|Japan|Brasil|France|Italia|Español,,0.857,2026-06-12,https://sinofacts.com/companies/genspark-ai
gitea-com,gitea.com,Gitea,,Gitea|Gitea Cloud|Gitea Enterprise|Gitea Actions Runner|Tea CLI,devtools,,,,,freemium,0.692,2026-06-12,https://sinofacts.com/companies/gitea-com
glority-com,glority.com,Glority LLC,,Smart ID|OCR API,ai-platform,2009,,,,unknown,1.0,2026-06-29,https://sinofacts.com/companies/glority-com
goenhance-ai,goenhance.ai,GoEnhance AI,右脑科技,GoEnhance AI,ai-video,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/goenhance-ai
goodnotes-com,goodnotes.com,Goodnotes,GoodNotes,Goodnotes,ai-productivity,,,,Global,freemium,0.917,2026-06-12,https://sinofacts.com/companies/goodnotes-com
gptbots-ai,gptbots.ai,GPTBots,GPTBots(极光),GPTBots,ai-agent,,Hong Kong,ESOF|ISO 27001|ISO 27701|SOC 2 Type II,Global,,0.833,2026-06-12,https://sinofacts.com/companies/gptbots-ai
gpustack-ai,gpustack.ai,,,GPUStack,ai-infra,,,,,,0.625,2026-06-12,https://sinofacts.com/companies/gpustack-ai
greptime-com,greptime.com,Greptime,格睿科技,GreptimeDB,data-infra,,,,,freemium,0.909,2026-06-12,https://sinofacts.com/companies/greptime-com
hailuoai-com,hailuoai.com,Hailuo AI,海螺AI,,ai-video,,,,,unknown,0.857,2026-06-15,https://sinofacts.com/companies/hailuoai-com
hailuoai-video,hailuoai.video,Hailuo AI,海螺AI,Hailuo AI,ai-video,,,,,freemium,0.778,2026-06-28,https://sinofacts.com/companies/hailuoai-video
halo-run,halo.run,Halo,凌霞（深圳）软件有限公司,Halo,devtools,2022,"Shenzhen, China",,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/halo-run
heygen-com,heygen.com,HeyGen,,HeyGen|HeyGen API,ai-video,,"Los Angeles, US",GDPR|SOC 2 TYPE II|CCPA|AI ACT|DPF,Global,freemium,1.0,2026-06-14,https://sinofacts.com/companies/heygen-com
higress-io,higress.io,Higress,Higress,Higress AI Gateway|云原生API网关,api-gateway,,,,Global|China,freemium,1.0,2026-06-13,https://sinofacts.com/companies/higress-io
